Coordinates, of fracture, traces, 
, x1, y1, x2, y2, 
328, 25.607, 6.884, 21.263, 4.554, 
329, 4.661, 7.993, 3.505, 4.19, 
330, 56.341, 9.373, 64.592, 12.679, 
331, 86.349, 45.61, 81.039, 47.374, 
332, 4.931, 75.669, 3.346, 79.878, 
333, 12.095, 3.075, 13.779, 0, 
334, 18.995, 93.625, 13.861, 91.5, 
335, 74.076, 17.256, 60.078, 0, 
336, 86.658, 65.373, 84.356, 62.964, 
337, 43.896, 9.625, 40.927, 4.664, 
338, 51.011, 59.101, 25.231, 38.711, 
339, 21.139, 24.24, 14.201, 18.248, 
340, 90.373, 55.595, 92.073, 60.986, 
341, 38.263, 18.81, 0, 28.711, 
342, 96.143, 26.542, 70.781, 27.439, 
343, 33.938, 100, 46.341, 76.059, 
344, 92.421, 74.75, 62.003, 63.871, 
345, 82.452, 3.416, 85.271, 34.964, 
346, 77.948, 1.882, 65.483, 2.568, 
347, 7.692, 85.34, 3.441, 81.676, 
348, 18.049, 60.868, 17.902, 65.522, 
349, 71.929, 100, 68.932, 86.597, 
350, 76.161, 5.08, 76.047, 0, 
351, 100, 63.269, 91.743, 73.691, 
352, 11.336, 65.859, 0, 66.552, 
353, 100, 28.626, 91.344, 29.798, 
354, 29.944, 92.413, 27.437, 76.135, 
355, 65.287, 36.155, 56.03, 32.012, 
356, 77.512, 34.022, 42.694, 27.992, 
357, 68.241, 66.203, 47.528, 31.933, 
358, 46.768, 96.263, 29.925, 98.115, 
359, 45.564, 66.044, 44.6, 63.629, 
360, 58.321, 64.441, 52.174, 65.581, 
361, 58.985, 13.581, 46.322, 4.779, 
362, 22.754, 74.909, 18.129, 78.075, 
363, 100, 90.135, 53.245, 73.92, 
364, 53.793, 23.799, 51.954, 19.305, 
365, 2.597, 100, 0, 95.134, 
366, 44.791, 32.302, 34.442, 15.649, 
367, 15.937, 60.881, 0.274, 19.352, 
368, 59.108, 56.843, 46.37, 49.813, 
369, 91.231, 33.124, 94.706, 25.807, 
370, 64.312, 42.88, 65.306, 39.117, 
371, 58.065, 88.116, 73.025, 78.497, 
372, 58.388, 35.236, 48.866, 21.632, 
373, 28.204, 79.106, 25.643, 65.009, 
374, 37.86, 27.14, 35.867, 24.381, 
375, 8.186, 73.522, 6.456, 73.052, 
376, 31.365, 16.235, 23.019, 1.49, 
377, 87.229, 71.717, 87.459, 69.139, 
378, 48.089, 36.163, 49.058, 29.971, 
379, 80.524, 1.388, 58.323, 0.51, 
380, 4.66, 93.645, 3.885, 89.448, 
381, 20.05, 9.36, 10.133, 4.74, 
382, 43.448, 100, 25.777, 90.232, 
383, 13.677, 93.755, 13.747, 90.271, 
384, 75.752, 12.362, 71.719, 11.32, 
385, 100, 36.354, 91.941, 31.83, 
386, 100, 12.929, 79.439, 14.382, 
387, 78.764, 77.883, 68.555, 61.941, 
388, 98.758, 10.586, 88.827, 8.562, 
389, 78.197, 68.372, 69.635, 79.404, 
390, 67.759, 100, 52.638, 83.623, 
391, 15.932, 83.825, 9.106, 78.545, 
392, 20.033, 57.756, 11.615, 57.311, 
393, 46.197, 51.753, 39.67, 74.075, 
394, 21.018, 44.09, 0, 62.842, 
395, 95.715, 88.994, 92.413, 77.765, 
396, 36.014, 61.703, 5.449, 43.287, 
397, 100, 83.648, 86.437, 83.419, 
398, 10.448, 43.198, 0, 43.765, 
399, 70.722, 94.59, 60.782, 96.254, 
400, 66.297, 70.57, 69.168, 66.916, 
401, 68.215, 43.107, 44.148, 36.077, 
402, 54.933, 86.167, 46.56, 88.594, 
403, 46.865, 28.158, 58.987, 0, 
404, 59.609, 74.854, 51.82, 73.283, 
405, 21.33, 5.689, 25.99, 0, 
406, 99.91, 70.455, 89.989, 64.577, 
407, 76.699, 72.554, 72.635, 70.578, 
408, 100, 7.083, 88.993, 11.664, 
409, 54.097, 6.96, 51.021, 17.541, 
410, 30.619, 41.345, 22.037, 45.145, 
411, 51.318, 17.257, 47.019, 0.724, 
412, 4.695, 22.411, 3.167, 26.284, 
413, 13.407, 58.831, 10.557, 58.44, 
414, 76.275, 67.944, 66.521, 93.584, 
415, 42.015, 42.938, 42.54, 39.437, 
416, 93.716, 92.832, 80.673, 90.419, 
417, 88.793, 0, 90.28, 3.625, 
418, 99.624, 36.957, 94.181, 39.083, 
419, 6.345, 40.82, 4.709, 33.975, 
420, 75.015, 64.542, 60.279, 59.802, 
421, 88.555, 70.418, 79.992, 62.618, 
422, 28.424, 14.385, 26.406, 9.603, 
423, 36.079, 45.015, 35.658, 41.157, 
424, 100, 99.679, 99.15, 94.871, 
425, 35.609, 18.296, 19.324, 1.047, 
426, 82.079, 41.49, 68.762, 55.43, 
427, 53.168, 66.691, 39.596, 69.007, 
428, 12.487, 68.599, 4.884, 66.744, 
429, 8.871, 28.552, 0.242, 26.107, 
430, 96.864, 18.415, 70.878, 10.065, 
431, 70.759, 34.116, 28.182, 37.45, 
432, 43.687, 91.625, 31.736, 85.822, 
433, 100, 42.02, 87.442, 43.675, 
434, 82.635, 33.579, 79.931, 30.407, 
435, 53.914, 99.238, 51.241, 97.582, 
436, 26.293, 62.057, 0, 49.562, 
437, 34.883, 46.691, 33.533, 48.502, 
438, 52.704, 83.637, 45.926, 71.263, 
439, 71.265, 18.999, 61.484, 1.057, 
440, 6.279, 10.543, 6.752, 6.389, 
441, 61.735, 12.042, 52.35, 12.044, 
442, 9.243, 39.7, 0, 38.99, 
443, 23.801, 71.188, 27.147, 60.091, 
444, 48.448, 90.981, 37.413, 76.352, 
445, 97.831, 50.324, 93.624, 50.558, 
446, 77.325, 45.593, 87.695, 36.355, 
447, 1.16, 4.218, 30.747, 0, 
448, 76.312, 10.31, 79.699, 7.457, 
449, 54.779, 58.77, 62.846, 50.633, 
450, 69.994, 27.258, 49.742, 25.448, 
451, 57.284, 63.5, 41.59, 50.615, 
452, 30.516, 73.847, 9.775, 72.886, 
453, 29.623, 83.599, 40.856, 92.572, 
454, 63.942, 0.433, 45.864, 11.75, 
455, 70.312, 1.314, 58.769, 3.288, 
456, 50.414, 50.136, 53.965, 60.976, 
457, 14.327, 39.939, 3.251, 43.749, 
458, 71.845, 68.325, 60.398, 67.385, 
459, 55.835, 23.693, 52.842, 23.653, 
460, 68.252, 13.175, 67.19, 15.122, 
461, 86.694, 54.656, 83.355, 54.057, 
462, 17.153, 52.662, 9.13, 44.314, 
463, 21.841, 76.713, 20.513, 74.213, 
464, 25.486, 43.32, 14.329, 39.868, 
465, 35.517, 96.134, 25.977, 89.437, 
466, 97.738, 70.405, 85.801, 67.166, 
467, 89.719, 100, 52.084, 75.683, 
468, 84.838, 81.98, 80.829, 78.218, 
469, 29.779, 100, 21.986, 94.245, 
470, 45.247, 27.838, 37.886, 33.681, 
471, 71.508, 84.346, 42.216, 46.524, 
472, 28.285, 4.328, 25.204, 0, 
473, 21.867, 79.686, 34.805, 94.691, 
474, 22.236, 99.09, 29.645, 55.7, 
475, 34.199, 67.572, 23.799, 90.227, 
476, 99.907, 44.751, 94.575, 38.394, 
477, 55.494, 37.125, 44.729, 25.071, 
478, 32.631, 22.362, 16.803, 7.485, 
479, 42.006, 10.481, 35.341, 12.732, 
480, 31.441, 15.684, 25.335, 18.209, 
481, 45.973, 79.357, 49.22, 75.787, 
482, 50.566, 97.411, 27.86, 97.774, 
483, 49.943, 95.691, 48.319, 100, 
484, 41.499, 82.998, 38.033, 72.457, 
485, 25.548, 50.939, 20.675, 48.514, 
486, 11.115, 72.824, 8.527, 77.004, 
487, 100, 60.225, 92.548, 61.535, 
488, 69.611, 41.627, 65.244, 43.757, 
489, 39.026, 0, 40.105, 4.673, 
490, 48.354, 0, 28.414, 12.772, 
491, 73.69, 88.707, 73.513, 79.041, 
492, 100, 88.995, 96.386, 89.013, 
493, 55.463, 48.22, 38.088, 28.387, 
494, 72.15, 10.761, 66.477, 7.367, 
495, 100, 78.882, 82.731, 78.471, 
496, 24.041, 7.185, 19.039, 4.162, 
497, 22.485, 99.909, 21.864, 91.32, 
498, 68.044, 46.616, 67.074, 36.791, 
499, 98.039, 94.941, 100, 82.359, 
500, 86.864, 8.612, 82.776, 10.645, 
501, 23.073, 85.337, 19.976, 86.995, 
502, 64.741, 56.076, 61.874, 49.207, 
503, 80.683, 68.024, 60.411, 61.051, 
504, 74.265, 25.637, 72.083, 22.765, 
505, 49.703, 0, 36.44, 11.734, 
506, 97.023, 66.999, 89.982, 61.515, 
507, 46.97, 10.803, 33.856, 2.76, 
508, 93.266, 21.626, 92.421, 18.646, 
509, 9.989, 99.988, 7.865, 98.498, 
510, 14.083, 90.129, 0, 90.339, 
511, 26.02, 59.888, 34.638, 62.839, 
512, 75.443, 21.512, 65.717, 16.74, 
513, 53.774, 99.957, 37.08, 98.212, 
